Date,Groupe,Passage,Clarté de la définition,Pertinence de l’exemple choisi, Lisibilité du pseudo code,Qualité du support,Qualité du discours oral,Motivation de la stratégie,Remarque libre
02/02/2021 13:55:09,2,1,4,4,4,4,4,4,
02/02/2021 13:55:40,2,1,5,5,4,4,4,4,
02/02/2021 13:56:47,2,1,6,6,6,6,6,6,
02/02/2021 13:56:56,2,1,6,6,6,6,6,6,
02/02/2021 13:57:25,2,1,6,6,6,6,6,6,
02/02/2021 14:11:21,2,1,5,5,5,5,5,5,
02/02/2021 14:32:40,2,1,3,4,5,4,6,3,
02/02/2021 14:35:56,2,1,6,4,6,6,6,4,
02/02/2021 14:53:19,2,1,3,3,4,3,3,4,
02/02/2021 13:44:43,3,1,3,3,3,3,3,3,
02/02/2021 13:46:37,3,1,3,3,3,2,2,3,
02/02/2021 13:47:32,3,1,5,4,3,4,4,4,ca manquait de 300 lignes de code en python
02/02/2021 13:47:43,3,1,3,3,4,3,3,3,
02/02/2021 13:47:55,3,1,6,6,6,6,6,6,"Excellente présentation, continus comme ça jeune ! :thumbs_up:"
02/02/2021 13:48:22,3,1,6,6,6,6,6,6,
02/02/2021 13:48:45,3,1,4,5,6,4,2,3,
02/02/2021 13:48:53,3,1,6,6,6,6,6,6,
02/02/2021 13:48:56,3,1,6,6,6,5,6,6,
02/02/2021 13:49:16,3,1,6,6,5,6,6,5,
02/02/2021 13:49:18,3,1,5,5,5,5,4,6,
02/02/2021 13:49:20,3,1,2,3,4,3,5,3,
02/02/2021 13:49:26,3,1,6,6,6,6,6,6,
02/02/2021 13:49:56,3,1,6,6,6,6,6,6,effectivement c'est couteux comme méthode
02/02/2021 13:50:11,3,1,6,6,5,6,5,6,
02/02/2021 13:50:30,3,1,6,6,6,6,6,6,
02/02/2021 13:50:40,3,1,6,3,3,3,3,3,
02/02/2021 13:50:48,3,1,5,5,5,5,5,5,
02/02/2021 13:51:02,3,1,5,6,5,6,5,5,
02/02/2021 13:51:10,3,1,4,5,4,5,5,5,
02/02/2021 13:51:59,3,1,5,5,5,5,5,5,
02/02/2021 13:52:10,3,1,4,4,5,4,4,4,
02/02/2021 13:52:15,3,1,6,6,6,6,6,6,
02/02/2021 13:52:15,3,1,6,6,6,6,6,6,
02/02/2021 13:52:26,3,1,4,5,5,6,4,4,
02/02/2021 13:52:26,3,1,6,6,6,6,6,6,
02/02/2021 13:52:29,3,1,6,6,4,6,6,6,"Seul hic : Pseudo-code un peu long -> perte de clarté
Sinon bonne présentation
Bon point : Exemple, et resultat de la stratégie sur le meme slide -> Bonne mise en forme"
02/02/2021 13:52:30,3,1,5,6,5,6,5,6,
02/02/2021 13:53:14,3,1,6,6,6,6,6,6,
02/02/2021 13:53:22,3,1,5,6,5,4,4,2,
02/02/2021 13:53:23,3,1,5,5,5,5,5,5,
02/02/2021 13:53:26,3,1,6,6,6,6,6,6,
02/02/2021 13:53:31,3,1,6,5,5,6,4,5,
02/02/2021 13:54:04,3,1,4,3,4,4,4,4,
02/02/2021 13:54:38,3,1,3,3,3,3,4,3,
02/02/2021 13:54:45,3,1,4,6,5,5,5,6,
02/02/2021 13:55:25,3,1,6,5,6,6,6,5,
02/02/2021 13:55:39,3,1,6,6,6,6,6,6,
02/02/2021 13:55:54,3,1,3,4,4,4,5,6,
02/02/2021 13:58:46,3,1,5,5,5,4,5,5,
02/02/2021 14:00:29,3,1,6,6,6,6,6,6,
02/02/2021 14:32:23,3,1,4,3,4,5,4,3,
02/02/2021 14:53:58,3,1,3,4,3,4,3,4,
02/02/2021 13:53:45,4,1,6,6,6,6,6,6,
02/02/2021 13:56:04,4,1,6,6,6,6,6,6,
02/02/2021 13:56:14,4,1,6,6,6,6,6,6,
02/02/2021 13:56:35,4,1,6,6,6,6,6,6,
02/02/2021 13:56:38,4,1,6,6,6,6,6,6,
02/02/2021 13:56:44,4,1,6,6,6,6,6,6,
02/02/2021 13:56:54,4,1,6,6,6,6,6,6,
02/02/2021 13:57:03,4,1,6,6,6,6,6,6,
02/02/2021 13:57:05,4,1,5,5,5,5,5,5,
02/02/2021 13:57:20,4,1,6,6,6,6,6,6,
02/02/2021 13:57:40,4,1,6,6,6,6,6,6,
02/02/2021 13:57:48,4,1,6,6,6,6,6,6,
02/02/2021 13:57:58,4,1,6,6,6,6,6,6,
02/02/2021 13:58:00,4,1,4,5,3,5,4,3,
02/02/2021 13:58:06,4,1,6,6,6,6,6,6,
02/02/2021 13:58:18,4,1,6,6,6,6,6,6,
02/02/2021 13:58:28,4,1,6,6,6,6,6,6,
02/02/2021 13:58:53,4,1,3,3,3,3,3,3,
02/02/2021 13:58:59,4,1,6,6,6,6,6,6,
02/02/2021 13:59:08,4,1,6,6,6,6,6,6,
02/02/2021 13:59:12,4,1,6,6,6,6,6,6,
02/02/2021 13:59:20,4,1,6,6,6,6,6,6,
02/02/2021 13:59:21,4,1,1,1,1,3,3,3,
02/02/2021 13:59:40,4,1,6,6,6,6,6,6,
02/02/2021 13:59:49,4,1,6,6,6,6,6,6,
02/02/2021 14:00:08,4,1,6,6,6,6,6,6,
02/02/2021 14:00:23,4,1,6,6,6,6,6,6,
02/02/2021 14:00:41,4,1,3,4,4,5,3,3,
02/02/2021 14:00:41,4,1,6,6,6,6,6,6,
02/02/2021 14:00:44,4,1,6,6,6,6,6,6,
02/02/2021 14:00:51,4,1,6,6,6,6,6,6,
02/02/2021 14:00:56,4,1,5,5,3,5,4,5,
02/02/2021 14:01:03,4,1,6,6,6,6,6,6,
02/02/2021 14:01:07,4,1,5,4,4,6,4,5,
02/02/2021 14:01:15,4,1,6,6,6,6,6,6,
02/02/2021 14:01:16,4,1,5,5,4,4,3,3,Un peu trop long tout de même 
02/02/2021 14:01:23,4,1,6,6,6,6,6,6,
02/02/2021 14:01:27,4,1,4,4,4,4,4,4,
02/02/2021 14:01:30,4,1,4,4,5,4,3,3,
02/02/2021 14:01:30,4,1,6,6,6,6,6,6,
02/02/2021 14:01:33,4,1,3,3,3,3,3,3,
02/02/2021 14:01:33,4,1,6,6,6,6,6,6,
02/02/2021 14:01:34,4,1,4,5,5,5,5,5,
02/02/2021 14:01:35,4,1,5,3,5,4,4,4,
02/02/2021 14:01:35,4,1,5,3,4,6,3,5,
02/02/2021 14:01:38,4,1,3,4,4,3,2,3,
02/02/2021 14:01:40,4,1,6,6,6,6,3,6,
02/02/2021 14:01:55,4,1,5,6,5,5,5,5,C'est l'effort qui est important
02/02/2021 14:01:55,4,1,3,3,4,4,3,2,
02/02/2021 14:01:56,4,1,2,3,3,3,2,1,
